scorer,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000
bodyparts,lefthand,lefthand,lefthand,righthand,righthand,righthand,leftfoot,leftfoot,leftfoot,rightfoot,rightfoot,rightfoot,mouth,mouth,mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,1553.556640625,293.18603515625,0.04521605372428894,1724.655517578125,261.4229736328125,0.14637529850006104,1553.9130859375,292.982666015625,0.9746623039245605,1726.3638916015625,259.88177490234375,0.7991928458213806,1728.0286865234375,257.05316162109375,0.3285875916481018
9,1463.300537109375,198.1495819091797,0.2744663953781128,1459.330322265625,204.6981964111328,0.8811849355697632,1555.523193359375,294.3545227050781,0.9559230804443359,1727.684326171875,262.1986999511719,0.7882155179977417,1463.2945556640625,202.7492218017578,0.5646067261695862
10,1486.6859130859375,208.46456909179688,0.5180278420448303,1483.0699462890625,214.8081817626953,0.8559153079986572,1554.894775390625,295.0553894042969,0.957252562046051,1727.7498779296875,261.8119812011719,0.7838354110717773,1488.651123046875,214.98294067382812,0.48524415493011475
11,1532.676025390625,185.15989685058594,0.5808438062667847,1523.9296875,191.03326416015625,0.5410042405128479,1569.98779296875,376.44842529296875,0.3107414245605469,1573.35986328125,375.66522216796875,0.9136196374893188,1730.43408203125,260.9454040527344,0.468833327293396
12,1549.1324462890625,173.45188903808594,0.7256917953491211,1547.683837890625,172.7171173095703,0.9027020931243896,1571.6114501953125,376.6791687011719,0.5490037798881531,1574.992919921875,376.5165710449219,0.8623487949371338,1730.966552734375,262.166015625,0.39081674814224243
13,1554.503173828125,166.92431640625,0.31422674655914307,1551.64892578125,172.8854522705078,0.9557862281799316,1569.5006103515625,377.16571044921875,0.6063440442085266,1729.4744873046875,264.39404296875,0.8068169355392456,1730.4508056640625,261.2354736328125,0.4182566702365875
14,1554.536865234375,169.02720642089844,0.2635987401008606,1551.2662353515625,175.54331970214844,0.96673583984375,1569.328125,377.1379089355469,0.6091247797012329,1729.47021484375,263.5985107421875,0.8139026165008545,1460.4049072265625,156.51531982421875,0.7126826047897339
15,1556.7266845703125,170.19921875,0.3757551312446594,1552.2275390625,176.4004364013672,0.9433166980743408,1513.8485107421875,126.58602905273438,0.7792442440986633,1572.398193359375,376.690185546875,0.8363564014434814,1459.59716796875,162.43247985839844,0.7269167900085449
16,1558.5887451171875,169.6090850830078,0.29088860750198364,1553.177001953125,175.77267456054688,0.9152225255966187,1507.4029541015625,129.82080078125,0.864169716835022,1571.291015625,376.5516662597656,0.8786301612854004,1457.4976806640625,170.0273895263672,0.9148193597793579
17,1560.06103515625,169.24070739746094,0.3869535028934479,1553.48583984375,175.89952087402344,0.9193781614303589,1508.7015380859375,129.45484924316406,0.867973804473877,1570.3543701171875,376.6603088378906,0.8494638204574585,1455.7393798828125,172.40725708007812,0.8424314260482788
18,1558.334228515625,169.80712890625,0.3612560033798218,1552.36328125,177.10205078125,0.9147979021072388,1510.6839599609375,126.97799682617188,0.8825984001159668,1570.302978515625,376.8281555175781,0.8475865721702576,1451.3271484375,170.70294189453125,0.9008444547653198
19,1550.1324462890625,166.73789978027344,0.6691961288452148,1542.5992431640625,179.02613830566406,0.9910308122634888,1511.3682861328125,127.07038116455078,0.8993715047836304,1571.0887451171875,377.02069091796875,0.8312897682189941,1443.7796630859375,163.946533203125,0.9771043062210083
20,1508.66552734375,189.11465454101562,0.5848420262336731,1501.178466796875,196.5425567626953,0.7929366827011108,1510.2554931640625,128.11788940429688,0.935312032699585,1571.051025390625,377.378662109375,0.7893329858779907,1425.4442138671875,149.7683868408203,0.9633303284645081
21,1453.3780517578125,214.36099243164062,0.6986865401268005,1451.11279296875,219.29701232910156,0.8656825423240662,1508.8382568359375,129.4603271484375,0.9509158134460449,1728.6275634765625,261.9427185058594,0.7817597985267639,1399.07958984375,140.26661682128906,0.9782053232192993
